time,open,high,low,close,High,Low,Mid,Untouched High,Untouched Low,Untouched Mid
2024-05-29T10:15:00+05:30,22757.8,22768.75,22719.45,22752.05,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T10:45:00+05:30,22750.8,22759.45,22719.95,22725.25,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T11:15:00+05:30,22725.55,22747.3,22705.6,22722.95,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T11:45:00+05:30,22722.6,22747.7,22714.05,22745.2,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T12:15:00+05:30,22744,22753.75,22725.9,22752.4,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T12:45:00+05:30,22753.1,22802.4,22735.55,22764.8,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T13:15:00+05:30,22765,22792.5,22758.25,22780.15,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T13:45:00+05:30,22780.75,22787.15,22724.3,22752.35,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T14:15:00+05:30,22753.6,22760.9,22716.35,22719.05,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T14:45:00+05:30,22718.5,22738.1,22685.45,22711.3,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-29T15:15:00+05:30,22710.8,22713.8,22693.35,22705.8,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T09:15:00+05:30,22642.15,22705.75,22590.3,22608.3,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T09:45:00+05:30,22608.1,22618.6,22554,22558.8,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T10:15:00+05:30,22558.5,22617.85,22555.3,22590.8,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T10:45:00+05:30,22590.55,22604.1,22562.75,22564.75,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T11:15:00+05:30,22563.8,22569.55,22540.9,22546.4,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T11:45:00+05:30,22546.6,22586.9,22544.5,22566.85,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T12:15:00+05:30,22567.45,22576.85,22551.25,22568.85,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T12:45:00+05:30,22568.1,22602.25,22566.95,22577,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
